market_type,security_code,orig_time,kline_time,open_price,high_price,low_price,close_price,volume_trade,value_trade,variety_category,open_price_yuan,high_price_yuan,low_price_yuan,close_price_yuan,volume_shares,value_trade_yuan
101,513350,0,202608211328,1342000,1342000,1341000,1342000,5550000,7447500000,0,1.342,1.342,1.341,1.342,55500,74475
101,513350,0,202608211329,1342000,1342000,1341000,1342000,19210000,25777980000,0,1.342,1.342,1.341,1.342,192100,257779.8
101,513350,0,202608211330,1341000,1342000,1341000,1342000,38170000,51191070000,0,1.341,1.342,1.341,1.342,381700,511910.7
101,513350,0,202608211331,1342000,1342000,1341000,1342000,59300000,79561010000,0,1.342,1.342,1.341,1.342,593000,795610.1
101,513350,0,202608211332,1342000,1342000,1341000,1341000,167020000,223999450000,0,1.342,1.342,1.341,1.341,1670200,2239994.5
101,513350,0,202608211333,1341000,1342000,1341000,1341000,40890000,54839420000,0,1.341,1.342,1.341,1.341,408900,548394.2
101,513350,0,202608211334,1342000,1342000,1341000,1342000,15120000,20279710000,0,1.342,1.342,1.341,1.342,151200,202797.1
101,513350,0,202608211335,1342000,1342000,1340000,1341000,188350000,252586980000,0,1.342,1.342,1.34,1.341,1883500,2525869.8
101,513350,0,202608211336,1341000,1341000,1340000,1340000,8530000,11433610000,0,1.341,1.341,1.34,1.34,85300,114336.1
101,513350,0,202608211337,1340000,1341000,1340000,1340000,60590000,81199080000,0,1.34,1.341,1.34,1.34,605900,811990.8
101,513350,0,202608211338,1340000,1341000,1340000,1341000,7820000,10486370000,0,1.34,1.341,1.34,1.341,78200,104863.7
101,513350,0,202608211339,1341000,1341000,1340000,1341000,12730000,17063490000,0,1.341,1.341,1.34,1.341,127300,170634.9
101,513350,0,202608211340,1341000,1341000,1340000,1340000,47220000,63300800000,0,1.341,1.341,1.34,1.34,472200,633008
101,513350,0,202608211341,1340000,1341000,1340000,1341000,6940000,9301090000,0,1.34,1.341,1.34,1.341,69400,93010.9
101,513350,0,202608211342,1341000,1342000,1341000,1342000,520870000,698721660000,0,1.341,1.342,1.341,1.342,5208700,6987216.6
101,513350,0,202608211343,1342000,1342000,1341000,1342000,213320000,286257250000,0,1.342,1.342,1.341,1.342,2133200,2862572.5
101,513350,0,202608211344,1342000,1343000,1342000,1343000,47370000,63574510000,0,1.342,1.343,1.342,1.343,473700,635745.1
101,513350,0,202608211345,1342000,1343000,1342000,1343000,28490000,38248310000,0,1.342,1.343,1.342,1.343,284900,382483.1
101,513350,0,202608211346,1342000,1343000,1342000,1343000,21420000,28763830000,0,1.342,1.343,1.342,1.343,214200,287638.3
101,513350,0,202608211347,1343000,1343000,1342000,1342000,39490000,53001110000,0,1.343,1.343,1.342,1.342,394900,530011.1
